label, file_name

Ferme le poing,video_0.avi
Ferme le poing,video_1.avi
Ferme le poing,video_2.avi
Ferme le poing,video_3.avi
Ouvre le poing,video_4.avi
Ouvre le poing,video_5.avi
Ouvre le poing,video_6.avi
Ouvre le poing,video_7.avi
Ouvre le poing,video_8.avi
Clap,video_9.avi
Clap,video_10.avi
Clap,video_11.avi
Swipe gauche,video_12.avi
Swipe gauche,video_13.avi
Swipe gauche,video_14.avi
Swipe droit,video_15.avi
Swipe droit,video_16.avi
Doigts croises paumes,video_17.avi
Doigts croises paumes,video_18.avi
Doigts croises paumes,video_19.avi
